id,car_name,yr_mfr,fuel_type,kms_run,sale_price,city,times_viewed,body_type,transmission,variant,assured_buy,registered_city,registered_state,is_hot,rto,source,make,model,car_availability,total_owners,broker_quote,original_price,car_rating,ad_created_on,fitness_certificate,emi_starts_from,booking_down_pymnt,reserved,warranty_avail
34,hyundai xcent,2014,diesel,66743,276299,noida,1339,sedan,manual,s 1.1 crdi,TRUE,delhi,delhi,TRUE,dl10,inperson_sale,hyundai,xcent,in_stock,1,252792,,great,2021,TRUE,6418,41445,FALSE,FALSE
35,maruti ritz,2012,diesel,114402,228699,noida,491,hatchback,manual,vdi,FALSE,new delhi,delhi,TRUE,dl4c,inperson_sale,maruti,ritz,in_stock,1,217015,,great,2021,TRUE,5312,34305,FALSE,FALSE
36,hyundai i20,2012,diesel,83767,244399,noida,4003,hatchback,manual,magna o 1.4 crdi,TRUE,noida,uttar pradesh,TRUE,up16,inperson_sale,hyundai,i20,in_stock,1,253021,330021,great,2021,TRUE,5677,36660,FALSE,FALSE
37,toyota etios liva,2012,diesel,87914,266299,noida,606,hatchback,manual,d 4d gd,TRUE,delhi,delhi,TRUE,dl12,inperson_sale,toyota,etios liva,in_stock,1,269200,348764,great,2020,TRUE,6185,39945,FALSE,FALSE
38,maruti swift,2013,diesel,74429,314499,noida,1418,hatchback,manual,vdi,TRUE,noida,uttar pradesh,TRUE,up14,inperson_sale,maruti,swift,in_stock,2,294044,365244,great,2021,TRUE,7305,47175,FALSE,FALSE
39,maruti swift,2014,diesel,81137,381299,noida,770,hatchback,manual,vdi,TRUE,ghaziabad,uttar pradesh,TRUE,up14,inperson_sale,maruti,swift,in_stock,2,358594,458804,great,2021,TRUE,8857,57195,FALSE,FALSE
40,hyundai i20,2012,diesel,85689,302299,noida,1268,hatchback,manual,sportz 1.4 crdi,TRUE,goutam  budd  nagar,uttar pradesh,TRUE,up16,inperson_sale,hyundai,i20,in_stock,1,292039,377619,great,2021,TRUE,7022,45345,FALSE,FALSE
41,hyundai santro xing,2011,petrol,139038,165499,noida,2258,hatchback,manual,gl plus,TRUE,delhi,delhi,TRUE,dl3c,inperson_sale,hyundai,santro xing,in_stock,1,154046,,great,2021,TRUE,3844,24825,FALSE,FALSE
42,hyundai grand i10,2013,petrol,82328,364399,noida,400,hatchback,manual,sportz 1.2 kappa vtvt,TRUE,delhi,delhi,TRUE,dl2c,inperson_sale,hyundai,grand i10,in_stock,1,336609,,great,2021,TRUE,8464,54660,FALSE,FALSE
43,hyundai verna,2015,diesel,87238,542699,noida,1289,sedan,manual,fluidic 1.6 crdi s,TRUE,ghaziabad,uttar pradesh,TRUE,up14,inperson_sale,hyundai,verna,in_stock,1,541498,680558,great,2021,TRUE,12606,81405,FALSE,FALSE
44,maruti swift dzire,2010,petrol,95236,202499,noida,2344,sedan,manual,vxi,TRUE,noida,uttar pradesh,TRUE,up16,inperson_sale,maruti,swift dzire,in_stock,2,199251,265671,great,2021,TRUE,4704,30375,FALSE,FALSE
45,maruti alto k10,2012,petrol,92532,215599,noida,493,hatchback,manual,vxi,TRUE,new delhi,delhi,TRUE,dl12,inperson_sale,maruti,alto k10,in_stock,1,195602,,great,2021,TRUE,5008,32340,FALSE,FALSE
46,maruti celerio,2016,petrol & cng,104962,326499,noida,2613,hatchback,manual,vxi cng,TRUE,faridabad,haryana,TRUE,hr51,inperson_sale,maruti,celerio,in_stock,1,295326,366773,great,2021,TRUE,7584,48975,FALSE,FALSE
47,maruti baleno,2016,diesel,88453,545799,noida,1463,hatchback,manual,alpha ddis 190,TRUE,delhi,delhi,TRUE,dl1c,inperson_sale,maruti,baleno,in_stock,1,565654,703554,great,2020,TRUE,12678,81870,FALSE,FALSE
48,maruti swift dzire,2013,diesel,77823,390699,noida,468,sedan,manual,zdi,TRUE,delhi,delhi,TRUE,dl4c,inperson_sale,maruti,swift dzire,in_stock,1,382228,,great,2021,TRUE,9075,58605,FALSE,FALSE
49,maruti swift dzire,2013,diesel,82016,274399,noida,2521,sedan,manual,ldi bs iv,TRUE,delhi,delhi,TRUE,dl3c,inperson_sale,maruti,swift dzire,in_stock,2,284400,353776,great,2021,TRUE,6374,41160,FALSE,FALSE
50,hyundai i20,2012,diesel,112314,294799,noida,608,hatchback,manual,sportz 1.4 crdi,TRUE,gurgaon,haryana,TRUE,hr26,inperson_sale,hyundai,i20,in_stock,1,271977,,great,2021,TRUE,6847,44220,FALSE,FALSE
51,maruti swift dzire,2013,diesel,96826,352799,noida,1102,sedan,manual,vdi,TRUE,noida,uttar pradesh,TRUE,up16,inperson_sale,maruti,swift dzire,in_stock,1,348318,446284,great,2021,TRUE,8195,52920,FALSE,FALSE
52,maruti swift,2015,diesel,91280,405399,noida,572,hatchback,manual,vdi abs,TRUE,faridabad,haryana,TRUE,hr51,inperson_sale,maruti,swift,in_stock,1,381900,,great,2020,TRUE,9416,60810,FALSE,FALSE
53,maruti swift,2015,diesel,92527,372899,noida,1172,hatchback,manual,vdi abs,TRUE,noida,uttar pradesh,TRUE,up16,inperson_sale,maruti,swift,in_stock,1,365500,467250,great,2020,TRUE,8662,55935,FALSE,FALSE
54,hyundai new elantra,2013,diesel,81971,604299,noida,1946,luxury sedan,manual,s 1.6 mt,TRUE,gurgaon,haryana,TRUE,hr26,inperson_sale,hyundai,new elantra,in_stock,1,527571,662351,great,2020,TRUE,14036,90645,FALSE,FALSE
55,hyundai i20,2012,diesel,118130,243299,noida,1385,hatchback,manual,sportz o 1.4 crdi,TRUE,noida,uttar pradesh,TRUE,up16,inperson_sale,hyundai,i20,in_stock,3,210000,277540,great,2020,TRUE,5651,36495,FALSE,FALSE
56,maruti swift,2014,diesel,124969,367999,noida,812,hatchback,manual,zdi,TRUE,ghaziabad,uttar pradesh,TRUE,up14,inperson_sale,maruti,swift,in_stock,1,381500,486770,great,2020,TRUE,8548,55200,FALSE,FALSE
57,maruti swift,2011,diesel,133175,289199,noida,1424,hatchback,manual,zdi,TRUE,ghaziabad,uttar pradesh,TRUE,up14,inperson_sale,maruti,swift,in_stock,1,253611,330743,great,2020,TRUE,6717,43380,FALSE,FALSE
58,maruti swift dzire,2013,diesel,110484,391499,noida,776,sedan,manual,zdi,TRUE,gurgaon,haryana,TRUE,hr26,inperson_sale,maruti,swift dzire,in_stock,1,395404,401404,great,2021,TRUE,9094,58725,FALSE,FALSE
59,honda amaze,2014,petrol,78097,337799,noida,1330,sedan,manual,1.2 smt i vtec,TRUE,faridabad,haryana,TRUE,hr29,inperson_sale,honda,amaze,in_stock,2,321773,398236,great,2021,TRUE,7846,50670,FALSE,FALSE
60,maruti ritz,2012,diesel,100995,234399,noida,701,hatchback,manual,vdi,TRUE,ghaziabad,uttar pradesh,TRUE,up14,inperson_sale,maruti,ritz,in_stock,1,232205,304629,great,2021,TRUE,5444,35160,FALSE,FALSE
61,maruti ritz,2012,diesel,123546,215699,noida,770,hatchback,manual,vdi,TRUE,ghaziabad,uttar pradesh,TRUE,up14,inperson_sale,maruti,ritz,in_stock,1,185600,248620,great,2020,TRUE,5010,32355,FALSE,FALSE
62,hyundai elite i20,2015,diesel,110531,420299,noida,1774,hatchback,manual,magna 1.4 crdi,TRUE,ghaziabad,uttar pradesh,TRUE,up14,inperson_sale,hyundai,elite i20,in_stock,1,420000,527700,great,2020,TRUE,9762,63045,FALSE,FALSE
63,hyundai creta,2018,diesel,78027,1149984,noida,1175,suv,automatic,1.6 crdi sx plus auto,TRUE,meerut,uttar pradesh,TRUE,up14,inperson_sale,hyundai,creta,in_stock,2,1068000,1295740,great,2020,TRUE,26711,172498,FALSE,FALSE
64,maruti swift,2012,diesel,129639,306199,noida,569,hatchback,manual,vdi,TRUE,goutam  budd  nagar,uttar pradesh,TRUE,up16,inperson_sale,maruti,swift,in_stock,1,296328,382854,great,2020,TRUE,7112,45930,FALSE,FALSE
65,maruti swift,2009,petrol & cng,118559,215299,noida,2935,hatchback,manual,vxi,TRUE,new delhi,delhi,TRUE,dl2c,inperson_sale,maruti,swift,in_stock,2,197120,,great,2021,TRUE,5001,32295,FALSE,FALSE
66,maruti swift,2012,diesel,156680,291399,noida,482,hatchback,manual,vdi,TRUE,delhi,delhi,TRUE,dl13,inperson_sale,maruti,swift,in_stock,1,266867,345903,great,2021,TRUE,6768,43710,FALSE,FALSE
67,maruti wagon r 1.0,2010,petrol & cng,176287,219999,noida,1530,hatchback,manual,lxi cng,TRUE,delhi,delhi,TRUE,dl4c,inperson_sale,maruti,wagon r 1.0,in_stock,1,179790,,good,2021,TRUE,5110,33000,FALSE,FALSE
68,honda amaze,2015,diesel,123934,315599,noida,1352,sedan,manual,1.5 emt i dtec,TRUE,ghaziabad,uttar pradesh,TRUE,up14,inperson_sale,honda,amaze,in_stock,2,311088,400848,great,2021,TRUE,7331,47340,FALSE,FALSE
69,audi q3,2014,diesel,66027,1332390,noida,3871,luxury suv,,2.0 tdi quattro mt,TRUE,delhi,delhi,TRUE,dl1c,inperson_sale,audi,q3,in_stock,1,1184213,,great,2021,TRUE,30948,199859,FALSE,FALSE
70,hyundai creta,2015,diesel,88375,789799,noida,1009,suv,,1.6 sx crdi,TRUE,delhi,delhi,TRUE,dl1c,inperson_sale,hyundai,creta,in_stock,1,790882,792382,great,2021,TRUE,18345,118470,FALSE,FALSE
71,maruti swift dzire,2012,diesel,180639,312099,noida,669,sedan,manual,vdi bs iv,TRUE,goutam  budd  nagar,uttar pradesh,TRUE,up16,inperson_sale,maruti,swift dzire,in_stock,1,302763,,great,2021,TRUE,7249,46815,FALSE,FALSE
72,hyundai elite i20,2015,diesel,116697,536999,noida,676,hatchback,manual,asta 1.4 crdi,TRUE,faridabad,haryana,TRUE,hr51,inperson_sale,hyundai,elite i20,in_stock,1,477500,,great,2020,TRUE,12473,80550,FALSE,FALSE
73,maruti vitara brezza,2016,diesel,111613,593099,noida,755,suv,manual,vdi,TRUE,new delhi,delhi,TRUE,dl6c,inperson_sale,maruti,vitara brezza,in_stock,1,519919,653679,great,2020,TRUE,13776,88965,FALSE,FALSE
74,honda amaze,2014,diesel,98992,293999,noida,1790,sedan,manual,1.5 exmt i dtec,TRUE,noida,uttar pradesh,TRUE,up16,inperson_sale,honda,amaze,in_stock,1,256200,333904,great,2020,TRUE,6829,44100,FALSE,FALSE
75,hyundai elite i20,2017,diesel,148526,514799,noida,1140,hatchback,manual,sportz 1.4,TRUE,noida,uttar pradesh,TRUE,up16,inperson_sale,hyundai,elite i20,in_stock,1,507465,639725,great,2021,TRUE,11957,77220,FALSE,FALSE
76,toyota corolla altis,2014,diesel,103033,694599,noida,3101,luxury sedan,manual,d 4d j,TRUE,faridabad,haryana,TRUE,hr29,inperson_sale,toyota,corolla altis,in_stock,1,713426,719426,great,2021,TRUE,16134,104190,FALSE,FALSE
77,maruti swift,2013,diesel,194203,284099,noida,1020,hatchback,manual,vdi,TRUE,delhi,delhi,TRUE,dl5c,inperson_sale,maruti,swift,in_stock,1,284626,362578,great,2021,TRUE,6599,42615,FALSE,FALSE
78,audi q3,2014,diesel,90959,1103827,noida,3892,luxury suv,,2.0 tdi,TRUE,noida,uttar pradesh,TRUE,up16,inperson_sale,audi,q3,in_stock,1,1127710,1135210,great,2021,TRUE,25639,165575,FALSE,FALSE
79,toyota innova,2015,diesel,111562,844899,noida,1356,suv,manual,2.5 vx 7 str bs iv,TRUE,faridabad,haryana,TRUE,hr51,inperson_sale,toyota,innova,in_stock,1,850000,1002280,great,2021,TRUE,19625,126735,FALSE,FALSE
80,renault scala,2013,diesel,219642,264299,noida,1241,sedan,manual,rxz,TRUE,faridabad,haryana,TRUE,hr29,inperson_sale,renault,scala,in_stock,1,226320,284657,good,2021,TRUE,6139,39645,FALSE,FALSE
81,maruti wagon r 1.0,2015,petrol,11343,334899,noida,3337,hatchback,manual,vxi,TRUE,noida,uttar pradesh,TRUE,up16,inperson_sale,maruti,wagon r 1.0,in_stock,1,352558,451448,great,2021,TRUE,7779,50235,FALSE,FALSE
82,maruti alto 800,2019,petrol & cng,2510,346599,noida,2873,hatchback,manual,lxi cng,TRUE,noida,uttar pradesh,TRUE,up16,inperson_sale,maruti,alto 800,in_stock,1,364076,465496,great,2021,TRUE,8051,51990,FALSE,FALSE
83,maruti alto k10,2013,petrol,21784,240199,noida,963,hatchback,manual,vxi,TRUE,bareilly,uttar pradesh,TRUE,up25,inperson_sale,maruti,alto k10,in_stock,2,241697,310189,great,2021,TRUE,5579,36030,FALSE,FALSE
84,renault kwid,2019,petrol,4279,341199,noida,502,hatchback,manual,rxt,TRUE,new delhi,delhi,TRUE,dl12,inperson_sale,renault,kwid,in_stock,1,336000,342500,great,2021,TRUE,7925,51180,FALSE,FALSE
85,maruti dzire,2019,petrol,11393,516599,noida,6046,sedan,manual,lxi,TRUE,bulandshahr,uttar pradesh,TRUE,up13,inperson_sale,maruti,dzire,in_stock,1,536586,682666,great,2021,TRUE,11999,77490,FALSE,FALSE
86,maruti alto k10,2019,petrol,11221,358099,noida,1039,hatchback,,vxi opt. mt,TRUE,noida,uttar pradesh,TRUE,up16,inperson_sale,maruti,alto k10,in_stock,1,360000,460540,great,2021,TRUE,8318,53715,FALSE,FALSE
87,honda city,2010,petrol,47405,360799,noida,1064,sedan,manual,s mt petrol,TRUE,delhi,delhi,TRUE,dl3c,inperson_sale,honda,city,in_stock,1,352000,449780,great,2021,TRUE,8380,54120,FALSE,FALSE
88,maruti swift,2013,petrol,43803,352799,noida,1184,hatchback,manual,vxi,TRUE,agra,uttar pradesh,TRUE,up80,inperson_sale,maruti,swift,in_stock,1,344573,435703,great,2021,TRUE,8195,52920,FALSE,FALSE
89,hyundai eon,2013,petrol,24955,226199,noida,924,hatchback,manual,d lite plus,TRUE,delhi,delhi,TRUE,dl1c,inperson_sale,hyundai,eon,in_stock,1,208148,269270,great,2021,TRUE,5254,33930,FALSE,FALSE
90,maruti alto 800,2016,petrol,34451,259999,noida,816,hatchback,manual,lxi,TRUE,jhajjar,haryana,TRUE,hr14,inperson_sale,maruti,alto 800,in_stock,1,251662,330354,great,2021,TRUE,6039,39000,FALSE,FALSE
91,renault kwid,2016,petrol,40154,213999,noida,5697,hatchback,manual,rxt,TRUE,ghaziabad,uttar pradesh,TRUE,up14,inperson_sale,renault,kwid,in_stock,1,222438,292706,great,2021,TRUE,4971,32100,FALSE,FALSE
92,renault kwid,2016,petrol,37916,234099,noida,5518,hatchback,manual,rxt,TRUE,faridabad,haryana,TRUE,hr29,inperson_sale,renault,kwid,in_stock,1,241700,302963,great,2021,TRUE,5438,35115,FALSE,FALSE
93,hyundai grand i10,2017,petrol,25826,488699,noida,935,hatchback,,sportz (o) 1.2 at vtvt,TRUE,new delhi,delhi,TRUE,dl3c,inperson_sale,hyundai,grand i10,in_stock,1,503392,509892,great,2021,TRUE,11351,73305,FALSE,FALSE
94,hyundai grand i10,2017,petrol & cng,38901,462899,noida,1702,hatchback,,sportz(o) 1.2 mt,TRUE,delhi,delhi,TRUE,dl5c,inperson_sale,hyundai,grand i10,in_stock,1,453780,,great,2021,TRUE,10752,69435,FALSE,FALSE
95,maruti wagon r 1.0,2012,petrol,39131,232999,noida,1501,hatchback,manual,lxi,TRUE,gurgaon,haryana,TRUE,hr26,inperson_sale,maruti,wagon r 1.0,in_stock,1,209467,275375,great,2021,TRUE,5412,34950,FALSE,FALSE
96,renault duster,2013,diesel,28769,454599,noida,2393,suv,manual,85 ps rxl opt,FALSE,noida,uttar pradesh,TRUE,up16,inperson_sale,renault,duster,in_stock,1,433859,544319,great,2021,TRUE,10559,68190,FALSE,FALSE
97,maruti alto k10,2018,petrol,3212,394399,noida,846,hatchback,manual,vxi,TRUE,delhi,delhi,TRUE,dl2c,inperson_sale,maruti,alto k10,in_stock,1,353454,,great,2021,TRUE,9161,59160,FALSE,FALSE
98,hyundai eon,2016,petrol,14776,278199,noida,1063,hatchback,manual,era plus,TRUE,new delhi,delhi,TRUE,dl5c,inperson_sale,hyundai,eon,in_stock,1,265907,339745,great,2021,TRUE,6462,41730,FALSE,FALSE
99,maruti swift,2013,diesel,50647,349299,noida,664,hatchback,manual,vdi,TRUE,delhi,delhi,TRUE,dl3c,inperson_sale,maruti,swift,in_stock,2,335481,,great,2021,TRUE,8113,52395,FALSE,FALSE
100,hyundai elite i20,2019,petrol,21556,571299,noida,1725,hatchback,,1.2 magna plus vtvt,TRUE,auraiya,uttar pradesh,TRUE,up79,inperson_sale,hyundai,elite i20,in_stock,1,578988,719548,great,2021,TRUE,13270,85695,FALSE,FALSE
101,maruti swift,2013,petrol,48461,370599,noida,775,hatchback,manual,vxi,TRUE,new delhi,delhi,TRUE,dl12,inperson_sale,maruti,swift,in_transit,1,357366,,great,2021,TRUE,8608,55590,FALSE,FALSE
102,maruti swift,2012,diesel,62476,317399,noida,693,hatchback,manual,vdi,TRUE,goutam  budd  nagar,uttar pradesh,TRUE,up16,inperson_sale,maruti,swift,in_stock,1,334103,428945,great,2021,TRUE,7372,47610,FALSE,FALSE
103,tata tiago,2017,diesel,85779,332399,noida,1000,hatchback,manual,xt 1.05 revotorq,TRUE,delhi,delhi,TRUE,dl1c,inperson_sale,tata,tiago,in_stock,2,333702,333899,great,2021,TRUE,7721,49860,FALSE,FALSE
104,hyundai creta,2015,petrol,20087,823499,noida,1301,suv,manual,1.6 s,TRUE,noida,uttar pradesh,TRUE,up16,inperson_sale,hyundai,creta,in_stock,2,841253,1023449,great,2021,TRUE,19128,123525,FALSE,FALSE
105,hyundai i10,2011,petrol,59431,223599,noida,1066,hatchback,manual,sportz 1.2 kappa2,TRUE,raebarely,uttar pradesh,TRUE,up33,inperson_sale,hyundai,i10,in_stock,1,202583,262473,great,2021,TRUE,5194,33540,FALSE,FALSE
106,toyota etios liva,2013,petrol,40911,294399,noida,1343,hatchback,manual,g,TRUE,delhi,delhi,TRUE,dl8c,inperson_sale,toyota,etios liva,in_stock,2,269633,349285,good,2021,TRUE,6838,44160,FALSE,FALSE
107,maruti ertiga,2019,petrol,8326,897199,noida,6979,suv,,zxi smart hybrid,TRUE,new delhi,delhi,TRUE,dl6c,inperson_sale,maruti,ertiga,in_stock,1,911988,1105910,great,2021,TRUE,20840,134580,FALSE,FALSE
108,hyundai i20,2011,petrol,71538,256699,noida,878,hatchback,manual,magna o 1.2,TRUE,sonipat,haryana,TRUE,hr10,inperson_sale,hyundai,i20,in_stock,1,239609,268499,great,2021,TRUE,5962,38505,FALSE,FALSE
109,datsun redi go,2016,petrol,28840,221399,noida,1922,hatchback,manual,t (o),TRUE,delhi,delhi,TRUE,dl1c,inperson_sale,datsun,redi go,in_stock,1,201724,,good,2021,TRUE,5143,33210,FALSE,FALSE
110,maruti celerio,2015,petrol,53095,354999,noida,649,hatchback,manual,zxi,TRUE,delhi,delhi,TRUE,dl9c,inperson_sale,maruti,celerio,in_stock,1,355044,361544,great,2021,TRUE,8246,53250,FALSE,FALSE
111,hyundai i20,2012,diesel,59922,276399,noida,991,hatchback,manual,magna 1.4 crdi,TRUE,faridabad,haryana,TRUE,hr51,inperson_sale,hyundai,i20,in_stock,1,237167,297556,good,2021,TRUE,6420,41460,FALSE,FALSE
112,honda wr-v,2018,petrol,28290,709899,noida,2443,suv,manual,1.2 i-vtec vx mt,TRUE,noida,uttar pradesh,TRUE,up16,inperson_sale,honda,wr-v,in_stock,1,738712,917232,great,2021,TRUE,16489,106485,FALSE,FALSE
